GDP MER by region,,,,,,,,,,,,,,,,,,,,,,,
"Reference,date=2022-10-4T12:05:37-07:00",Pakistan,51830.7,97328,115119,140117,171873,199177,253047,321666,409223,517609,648276,803604,986667,1201000,1449070,1727110,2031500,2359960,2712330,3089000,3486220,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",Russia,932773,845373,1006080,1093970,1179610,1297180,1500160,1694180,1869510,2012230,2128160,2248270,2405100,2570840,2733060,2877810,3007890,3133120,3260100,3387790,3505570,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",South Africa,147057,212565,247601,276324,291276,324394,385096,448393,514984,583346,652790,725089,801699,880071,958484,1036830,1113710,1188430,1260900,1330230,1395330,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",South America_Northern,118066,164912,197942,200453,81651.3,80231.6,93578.9,108340,124234,141688,160664,181129,202906,225207,247718,270533,293979,317958,342090,366061,389854,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",South America_Southern,143302,269052,340111,419462,481139,567326,677414,792066,916978,1051840,1194950,1345450,1502780,1668270,1840920,2018690,2201390,2388020,2577860,2771120,2967030,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",South Asia,49979.7,100538,136818,183572,244613,326230,421451,529487,657972,807946,981994,1184000,1417570,1684030,1985020,2323980,2699770,3113260,3565840,4059760,4594050,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",South Korea,239379,590240,722048,837006,961501,1109410,1257730,1390040,1505690,1607260,1692750,1769480,1824990,1868890,1912940,1947690,1980910,2009990,2033600,2051990,2066620,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",Southeast Asia,295571,639217,819624,1030780,1298990,1632840,1993860,2379410,2805890,3269250,3763810,4294500,4860000,5458560,6081350,6723950,7380810,8045670,8719010,9399600,1.01E+07,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",Taiwan,102832,239716,295743,335757,378934,423712,461699,497552,530247,555477,571518,580142,588310,616119,643741,668644,689940,705568,716537,723226,726413,Million1990US$
"Reference,date=2022-10-4T12:05:37-07:00",USA,6019690,9574270,9936410,1.11E+07,1.23E+07,1.34E+07,1.47E+07,1.59E+07,1.71E+07,1.82E+07,1.92E+07,2.02E+07,2.12E+07,2.23E+07,2.34E+07,2.44E+07,2.54E+07,2.64E+07,2.73E+07,2.82E+07,2.90E+07,Million1990US$
